name,stars
Serbian Mediteran Restaurant,5.0
Ohana Mediterranean Eatery,5.0
The Mediterranean Chickpea,5.0
Tazah Kabob,5.0
Mizette Lebanese Grill,5.0
Pips Pass,5.0
Spice Routes,5.0
Kabob House NOLA,5.0
Groovy Pizza And Cafe,5.0
Villekebabs and Platters,5.0
J's Pitaria,5.0
Fevzi's Mediterranean Grill,5.0
StationOne,5.0
Amun Mediterranean Cuisine,4.5
Cafe Ole In The Valley,4.5
TSM Kitchen & Bar,4.5
Persian Room Fine Dining,4.5
American Falafel,4.5
Garden Mediterranean Grill,4.5
Mia’s Meals,4.5
Grind,4.5
Al Salam Bakery and Restaurant,4.5
Marrakesh,4.5
Pita's Republic,4.5
Al-Sham Palace,4.5
Ny Gyro & Grill,4.5
Sahara  Mediterranean Grill,4.5
Sahara Cafe,4.5
BisMillah Gyro,4.5
Paladar 511,4.5
Ousia,4.5
Park Plates,4.5
Bonu Cafe Express,4.5
Suite 103,4.5
Falafel Time,4.5
Skewers,4.5
Petra Market,4.5
Paprica Modern Mediterranean Grill,4.5
Georgian Bakery & Cafe,4.5
Opa Vera's Restaurant,4.5
Taste Of Dubai,4.5
Marokko,4.5
Ephesus Grill,4.5
Nomad STL,4.5
Fala Bar,4.5
Del Prado,4.5
La Pita,4.5
Express Shish Kabab,4.5
Cafe Mezze,4.5
Peppers Cafe,4.5
Athena Cafe,4.5
The Palm Trees Restaurant,4.5
Medina Mediterranean Grill,4.5
Dizengoff,4.5
Turquaz Kebab House,4.5
Damas Mediterranean Grill,4.5
Cali - Saint Petersburg,4.5
Isot Mediterranean Cuisine,4.5
Kebablicious,4.5
Tarbush Kitchen,4.5
Frazer's Restaurant & Lounge,4.5
Miss Kathy's,4.5
Lava Express,4.5
Saj,4.5
Portofino Mediterranean Grill,4.5
Taste of Persia,4.5
87 Pizza & Donair,4.5
SoFresh,4.5
Med Cuisine,4.5
Med Cuisine,4.5
SoFresh,4.5
Istanbul Kebab and Donair,4.5
Magma Donair Burgers & Subs,4.0
Judah Mediterranean Grill,4.0
Grassmere Grill & Kabob,4.0
Magic Pita Cafe,4.0
Fusion Kitchen,4.0
Pietro's Famiglia,4.0
Proino Breakfast & Lunch,4.0
Erbil Kabob,4.0
Cedars Grill,4.0
Taziki's Mediterranean Cafe - Tampa,4.0
Agno Grill,4.0
CAVA,4.0
Erini Restaurant,4.0
Caffe Galleria Restaurant Market,4.0
Bayona,4.0
Tanoor & Kabab,4.0
Tazé Mediterranean Street Food,4.0
Shawarma Chef,4.0
Pom Restaurant,4.0
House of Gyro Salad & Hamburger,4.0
Euro Grill,4.0
Tal's Hummus,4.0
Steak & Pizza,4.0
Caprese Pizza House,4.0
Greek Gyro Mediterranean Grill,4.0
Anatolia Food Market,4.0
Mediterrano Cafe,4.0
OTB Delight Café,4.0
Mazza Healthy Mediteranean,4.0
Hummus Grill,4.0
Shawarma Corner,4.0
Bar Lucca,4.0
Sultana Cafe & Hookah Bar,4.0
Mecca Market,4.0
Garbanzo Mediterranean Fresh,4.0
Jerusalem Cafe,4.0
Mediterranean 2000,4.0
Soulard Gyro,4.0
Aroma Mediterranean Cuisine,4.0
Kaza Maza Moroccan Mediterranean Cuisine,4.0
Ristorante Imperatore at Blue Bell,4.0
Shawarmageddon,4.0
Green Land Restaurant,4.0
Al Basha,4.0
Zaytoon,4.0
The Tuscan Tomato,4.0
Mecca Restaurant,4.0
Lovin Oven Mediterranean,4.0
Mona's Cafe,4.0
Roger's Bistro,4.0
Bistro Romano,4.0
Viana's Italian and Mediterranean Cuisine,4.0
Sage Mediterranean,4.0
Nektar Wine Bar,4.0
Petra Express Mediterranean Cuisine,4.0
Jerusalem Market & Restaurant,4.0
The Vine Mediterranean Cafe and Market,4.0
Zaatar,4.0
Mirna's,3.5
"Sam's Fish, Chicken and Gyros",3.5
La Va Cafe,3.5
Mediterra Grill,3.5
Zorba,3.5
Puerto Vallarta,3.5
Zena's American Mediterranean Cuisine,3.5
Veronica's Restaurant,3.5
Al-Waha,3.5
The Halal Guys Nashville,3.5
Sultan Palace Bakery and Cafe,3.5
Noodles & Company,3.5
Palermo's Pizza,3.5
Fatoush,3.5
Zaki On The River,3.5
Zaffron,3.5
Buster's Pizza & Donair,3.5
Miro,3.5
Divan Mediterranean Grill,3.5
Brugada,3.5
Gengiz Khan Mediterranean Grill,3.5
Burger N Brew,3.5
Ali Baba Mediterranean Cuisine,3.5
Byblos Restaurant,3.5
Pita Pit,3.5
Paul's Landing,3.5
Il Polpo,3.5
Zacharias Creek Side Cafe,3.5
Blue Fig Cafe,3.5
The Halal Guys,3.5
Cafe Renata,3.5
Noodles & Company,3.5
Boston Style Pizza,3.5
Azul Restaurant and Lounge,3.5
Water Works Restaurant & Lounge,3.0
Santorini Seafood & Grill,3.0
Flambé,3.0
Pasha Mediterranean Kitchen,3.0
Pita's Republic,3.0
Extreme Pita,3.0
Lava Mediterranean Cuisine,3.0
Noodles & Company,3.0
Gusto at The Theatres at Canal Place,3.0
The Ale House,3.0
Istanbul Grill & Cafe,3.0
Nikolas,3.0
Dixie Gyro,3.0
The Halal Guys,2.5
Petra Mediterranean Grill,2.5
Paradise Pizza Cafe,2.5
The Docket,2.5
Le Gourmet,2.5
Casablanca,2.5
Mama Rosa's Pizza,2.0
Elevation Lounge,2.0
Continental Diner,2.0
Pizza Factory,2.0
